player_id,player_name,team
252,Fabian Sch?r,Newcastle United
253,DeAndre Yedlin,Newcastle United
254,Federico Fern?ndez,Newcastle United
255,Paul Dummett,Newcastle United
256,Javier Manquillo,Newcastle United
257,Florian Lejeune,Newcastle United
258,Jamaal Lascelles,Newcastle United
259,Ciaran Clark,Newcastle United
260,Yoshinori Muto,Newcastle United
261,Jose Luis Mato Sanmart?n,Newcastle United
262,Martin Dubravka,Newcastle United
263,Karl Darlow,Newcastle United
264,Frederick Woodman,Newcastle United
265,Ayoze P?rez,Leicester
266,Miguel Almir?n,Newcastle United
267,Christian Atsu,Newcastle United
268,Sung-yueng Ki,Newcastle United
269,Jonjo Shelvey,Newcastle United
270,Sean Longstaff,Newcastle United
271,Isaac Hayden,Newcastle United
272,Timm Klose,Norwich
273,Ben Godfrey,Norwich
274,Maximillian Aarons,Norwich
275,Christoph Zimmermann,Norwich
276,Jamal Lewis,Norwich
277,Grant Hanley,Norwich
278,Teemu Pukki,Norwich
279,Dennis Srbeny,Norwich
280,Tim Krul,Norwich
281,Michael McGovern,Norwich
282,Mario Vrancic,Norwich
283,Emiliano Buend?a,Norwich
284,Onel Hern?ndez,Norwich
285,Marco Stiepermann,Norwich
286,Kenny McLean,Norwich
287,Todd Cantwell,Norwich
288,Moritz Leitner,Norwich
289,Alexander Tettey,Norwich
290,Tom Trybull,Norwich
291,Enda Stevens,Sheffield United
292,Kieron Freeman,Sheffield United
293,Jack O'Connell,Sheffield United
294,George Baldock,Sheffield United
295,John Egan,Sheffield United
296,Richard Stearman,Sheffield United
297,John Lundstram,Sheffield United
298,Billy Sharp,Sheffield United
299,Jake Eastwood,Sheffield United
300,Mark Duffy,Sheffield United
301,John Fleck,Sheffield United
302,Oliver Norwood,Sheffield United
303,David McGoldrick,Sheffield United
304,Jannik Vestergaard,Southampton
305,Ryan Bertrand,Southampton
306,Yan Valery,Southampton
307,Jan Bednarek,Southampton
308,Jack Stephens,Southampton
309,Matt Targett,Aston Villa
310,Maya Yoshida,Southampton
